,Var1,Freq,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,0_Adjacent,1874,,,,Adjacent,1874,816,26,740,838,17,651,445,72,1,608,401,316,384,6,136,237,137,118,15,51,47
2,0_dCCA,6,,,,dCCA,6,247,102,169,2,555,18,7,10,512,7,35,24,26,72,50,9,4,4,4,1,0
3,0_ICC,59,,,,ICC,59,55,76,5,14,176,30,97,613,118,10,84,3,4,213,34,26,37,0,5,6,1
4,0_pCCA,18,,,,pCCA,18,165,952,215,9,16,40,183,15,14,3,41,179,40,37,91,15,5,2,59,12,0
5,1_Adjacent,816,,,,,1957,1283,1156,1129,863,764,739,732,710,645,628,561,522,454,328,311,287,183,124,83,70,48
6,1_dCCA,247,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1_ICC,55,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1_pCCA,165,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
9,10_Adjacent,608,,,,Adjacent,96%,64%,2%,66%,97%,2%,88%,61%,10%,0%,97%,71%,61%,85%,2%,44%,83%,75%,95%,18%,73%,98%
10,10_dCCA,7,,,,dCCA,0%,19%,9%,15%,0%,73%,2%,1%,1%,79%,1%,6%,5%,6%,22%,16%,3%,2%,3%,5%,1%,0%
11,10_ICC,10,,,,ICC,3%,4%,7%,0%,2%,23%,4%,13%,86%,18%,2%,15%,1%,1%,65%,11%,9%,20%,0%,6%,9%,2%
12,10_pCCA,3,,,,pCCA,1%,13%,82%,19%,1%,2%,5%,25%,2%,2%,0%,7%,34%,9%,11%,29%,5%,3%,2%,71%,17%,0%
13,11_Adjacent,401,,,,,,,,,,,,,,,,,,,,,,,,,,
14,11_dCCA,35,,,,,,,,,,,,,,,,,,,,,,,,,,
15,11_ICC,84,,,,,,,,,,,,,,,,,,,,,,,,,,
16,11_pCCA,41,,,,,,,,,,,,,,,,,,,,,,,,,,
17,12_Adjacent,316,,,,,,,,,,,,,,,,,,,,,,,,,,
18,12_dCCA,24,,,,,,,,,,,,,,,,,,,,,,,,,,
19,12_ICC,3,,,,,,,,,,,,,,,,,,,,,,,,,,
20,12_pCCA,179,,,,,,,,,,,,,,,,,,,,,,,,,,
21,13_Adjacent,384,,,,,,,,,,,,,,,,,,,,,,,,,,
22,13_dCCA,26,,,,,,,,,,,,,,,,,,,,,,,,,,
23,13_ICC,4,,,,,,,,,,,,,,,,,,,,,,,,,,
24,13_pCCA,40,,,,,,,,,,,,,,,,,,,,,,,,,,
25,14_Adjacent,6,,,,,,,,,,,,,,,,,,,,,,,,,,
26,14_dCCA,72,,,,,,,,,,,,,,,,,,,,,,,,,,
27,14_ICC,213,,,,,,,,,,,,,,,,,,,,,,,,,,
28,14_pCCA,37,,,,,,,,,,,,,,,,,,,,,,,,,,
29,15_Adjacent,136,,,,,,,,,,,,,,,,,,,,,,,,,,
30,15_dCCA,50,,,,,,,,,,,,,,,,,,,,,,,,,,
31,15_ICC,34,,,,,,,,,,,,,,,,,,,,,,,,,,
32,15_pCCA,91,,,,,,,,,,,,,,,,,,,,,,,,,,
33,16_Adjacent,237,,,,,,,,,,,,,,,,,,,,,,,,,,
34,16_dCCA,9,,,,,,,,,,,,,,,,,,,,,,,,,,
35,16_ICC,26,,,,,,,,,,,,,,,,,,,,,,,,,,
36,16_pCCA,15,,,,,,,,,,,,,,,,,,,,,,,,,,
37,17_Adjacent,137,,,,,,,,,,,,,,,,,,,,,,,,,,
38,17_dCCA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
39,17_ICC,37,,,,,,,,,,,,,,,,,,,,,,,,,,
40,17_pCCA,5,,,,,,,,,,,,,,,,,,,,,,,,,,
41,18_Adjacent,118,,,,,,,,,,,,,,,,,,,,,,,,,,
42,18_dCCA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
43,18_pCCA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
44,19_Adjacent,15,,,,,,,,,,,,,,,,,,,,,,,,,,
45,19_dCCA,4,,,,,,,,,,,,,,,,,,,,,,,,,,
46,19_ICC,5,,,,,,,,,,,,,,,,,,,,,,,,,,
47,19_pCCA,59,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2_Adjacent,26,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2_dCCA,102,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2_ICC,76,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2_pCCA,952,,,,,,,,,,,,,,,,,,,,,,,,,,
52,20_Adjacent,51,,,,,,,,,,,,,,,,,,,,,,,,,,
53,20_dCCA,1,,,,,,,,,,,,,,,,,,,,,,,,,,
54,20_ICC,6,,,,,,,,,,,,,,,,,,,,,,,,,,
55,20_pCCA,12,,,,,,,,,,,,,,,,,,,,,,,,,,
56,21_Adjacent,47,,,,,,,,,,,,,,,,,,,,,,,,,,
57,21_ICC,1,,,,,,,,,,,,,,,,,,,,,,,,,,
58,3_Adjacent,740,,,,,,,,,,,,,,,,,,,,,,,,,,
59,3_dCCA,169,,,,,,,,,,,,,,,,,,,,,,,,,,
60,3_ICC,5,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3_pCCA,215,,,,,,,,,,,,,,,,,,,,,,,,,,
62,4_Adjacent,838,,,,,,,,,,,,,,,,,,,,,,,,,,
63,4_dCCA,2,,,,,,,,,,,,,,,,,,,,,,,,,,
64,4_ICC,14,,,,,,,,,,,,,,,,,,,,,,,,,,
65,4_pCCA,9,,,,,,,,,,,,,,,,,,,,,,,,,,
66,5_Adjacent,17,,,,,,,,,,,,,,,,,,,,,,,,,,
67,5_dCCA,555,,,,,,,,,,,,,,,,,,,,,,,,,,
68,5_ICC,176,,,,,,,,,,,,,,,,,,,,,,,,,,
69,5_pCCA,16,,,,,,,,,,,,,,,,,,,,,,,,,,
70,6_Adjacent,651,,,,,,,,,,,,,,,,,,,,,,,,,,
71,6_dCCA,18,,,,,,,,,,,,,,,,,,,,,,,,,,
72,6_ICC,30,,,,,,,,,,,,,,,,,,,,,,,,,,
73,6_pCCA,40,,,,,,,,,,,,,,,,,,,,,,,,,,
74,7_Adjacent,445,,,,,,,,,,,,,,,,,,,,,,,,,,
75,7_dCCA,7,,,,,,,,,,,,,,,,,,,,,,,,,,
76,7_ICC,97,,,,,,,,,,,,,,,,,,,,,,,,,,
77,7_pCCA,183,,,,,,,,,,,,,,,,,,,,,,,,,,
78,8_Adjacent,72,,,,,,,,,,,,,,,,,,,,,,,,,,
79,8_dCCA,10,,,,,,,,,,,,,,,,,,,,,,,,,,
80,8_ICC,613,,,,,,,,,,,,,,,,,,,,,,,,,,
81,8_pCCA,15,,,,,,,,,,,,,,,,,,,,,,,,,,
82,9_Adjacent,1,,,,,,,,,,,,,,,,,,,,,,,,,,
83,9_dCCA,512,,,,,,,,,,,,,,,,,,,,,,,,,,
84,9_ICC,118,,,,,,,,,,,,,,,,,,,,,,,,,,
85,9_pCCA,14,,,,,,,,,,,,,,,,,,,,,,,,,,
